Plataforma,Título,Tipo de Conteúdo,Ano de Lançamento,Nº Temporadas/Filmes na Saga,Nº de Episódios,Género,Produtor/Artista,Classificação IMDb,Classificação Etária (PEGI),Duração (minutos)
HIDIVE,The Eminence in Shadow,TV,2022,2,12,ANIME,Daisuke Aizawa,7.8,12+,23
HIDIVE,Food Wars! Shokugeki no Soma,TV,2015,5,13,ANIME,NULL,NULL,16+,25
HIDIVE,I Parry Everything,TV,2024,1,12,ANIME,Nabeshiki,7.0,12+,23
HIDIVE,Clannad,TV,2007,2,25,ANIME,Yûichi Nakamura,8.2,12+,25
HIDIVE,Oshi No Ko,TV,2023,2,13,ANIME,Aka Akasaka,8.3,12+,26
HIDIVE,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,TV,2022,1,12,ANIME,Shinkô Shotô,6.2,12+,23
HIDIVE,Dororo,TV,2019,1,24,ANIME,Osamu Tezuka,8.2,16+,24
HIDIVE,Vermeil in Gold,TV,2022,1,12,ANIME,Kota Amana,6.7,12+,23
HIDIVE,Gate,TV,2015,2,12,ANIME,Jun'ichi Suwabe,7.5,12+,24
HIDIVE,The Dangers in My Heart,TV,2023,2,13,ANIME,Shun Horie,8.0,12+,23
HIDIVE,Ragna Crimson,TV,2023,1,24,ANIME,Daiki Kobayashi,7.1,16+,24
HIDIVE,Ninja Scroll,Movie,1993,NULL,NULL,ANIME,Yoshiaki Kawajiri,7.8,16+,94
HIDIVE,Call of the Night,TV,2022,1,13,ANIME,Gen Satô,7.4,12+,23
HIDIVE,Wicked City,Movie,1987,NULL,NULL,ANIME,Yoshiaki Kawajiri,6.7,NULL,82
HIDIVE,Dream Eater Merry,TV,2011,1,13,ANIME,Ayane Sakura,6.2,16+,24
HIDIVE,Gushing Over Magical Girls,TV,2024,2,1,ANIME,Akihiro Ononaka,6.9,16+,23
HIDIVE,Blade of the Immortal,TV,2008,1,24,ANIME,Keith Silverstein,6.7,16+,24
HIDIVE,Battle of the Planets,TV,1978,1,85,ANIME,Alan Young,7.6,7+,23
HIDIVE,Aura,Movie,2018,NULL,NULL,ANIME,Steve Lawson,3.4,NULL,82
HIDIVE,100 Sleeping Princes & the Kingdom of Dreams,TV,2018,1,12,ANIME,NULL,NULL,12+,23
HIDIVE,Reincarnated as a Sword,TV,2022,2,1,ANIME,Yuu Tanaka,7.3,12+,24
HIDIVE,The Demon Sword Master of Excalibur Academy,TV,2023,1,12,ANIME,Shimizu Yuu,6.1,12+,23
HIDIVE,Kino's Journey,TV,2003,1,13,ANIME,Ai Maeda,8.3,12+,24
HIDIVE,Akame ga Kill!,TV,2014,1,24,ANIME,Takahiro,7.8,16+,23
HIDIVE,The Executioner and Her Way of Life,TV,2022,1,12,ANIME,Iori Saeki,7.5,12+,23
HIDIVE,2.5 Dimensional Seduction,TV,2024,1,24,ANIME,Yuu Hashimoto,6.6,12+,24
HIDIVE,Ahiru no Sora,TV,2019,1,50,ANIME,Takeshi Hinata,7.2,12+,23
HIDIVE,Bloom Into You,TV,2018,1,13,ANIME,Nio Nakatani,7.8,12+,23
HIDIVE,Made in Abyss: Dawn of the Deep Soul,Movie,2020,NULL,NULL,ANIME,Masayuki Kojima,8.0,16+,105
HIDIVE,Flying Witch,TV,2016,1,12,ANIME,Minami Shinoda,7.2,12+,23
HIDIVE,Farming Life in Another World,TV,2023,1,12,ANIME,Kinosuke Naitô,7.2,12+,24
