Plataforma;Título;Tipo;Ano de Lançamento;Nº Temporadas/Filmes na Saga;Nº de Episódios;Género;Produtor/Artista;Classificação IMDb;Classificação Etária (PEGI);Duração (minutos)
Spotify PT;BIRDS OF A FEATHER;Música;2024;NULL;NULL;pop;Billie Eilish;NULL;Livre;3.51
Spotify PT;Die With A Smile;Música;2024;NULL;NULL;pop;Lady Gaga;NULL;Livre;4.19
Spotify PT;WILDFLOWER;Música;2024;NULL;NULL;pop;Billie Eilish;NULL;Livre;4.36
Spotify PT;Beautiful Things;Música;2024;NULL;NULL;pop;Benson Boone;NULL;Livre;3.01
Spotify PT;A Nossa Dança;Música;2023;NULL;NULL;pop;Calema;NULL;Livre;3.04
Spotify PT;Sailor Song;Música;2024;NULL;NULL;pop;Gigi Perez;NULL;Livre;3.53
Spotify PT;Te Amo;Música;2020;NULL;NULL;pop;Calema;NULL;Livre;4.3
Spotify PT;Amar Pela Metade;Música;2024;NULL;NULL;pop;Calema;NULL;Livre;3.12
Spotify PT;Messy;Música;2024;NULL;NULL;pop;Lola Young;NULL;18+;4.73
Spotify PT;Iris;Música;1998;NULL;NULL;pop;The Goo Goo Dolls;NULL;Livre;4.83
Spotify PT;One Of The Girls (with JENNIE Lily Rose Depp);Música;2023;NULL;NULL;pop;The Weeknd;NULL;Livre;4.08
Spotify PT;Yellow;Música;2000;NULL;NULL;pop;Coldplay;NULL;Livre;4.45
Spotify PT;Even;Música;2024;NULL;NULL;pop;Richie Campbell;NULL;Livre;3.13
Spotify PT;Stargazing;Música;2024;NULL;NULL;pop;Myles Smith;NULL;Livre;2.88
Spotify PT;Good Luck Babe!;Música;2024;NULL;NULL;pop;Chappell Roan;NULL;Livre;3.64
Spotify PT;Sweater Weather;Música;2013;NULL;NULL;pop;The Neighbourhood;NULL;Livre;4.01
Spotify PT;Another Love;Música;2013;NULL;NULL;pop;Tom Odell;NULL;18+;4.07
Spotify PT;LUNA;Música;2023;NULL;NULL;pop;Feid;NULL;Livre;3.28
Spotify PT;A Nossa Vez;Música;2017;NULL;NULL;pop;Calema;NULL;Livre;3.63
Spotify PT;In the End;Música;2000;NULL;NULL;rock;Linkin Park;NULL;Livre;3.61
Spotify PT;Every Breath You Take;Música;1983;NULL;NULL;rock;The Police;NULL;Livre;4.23
Spotify PT;I Wanna Be Yours;Música;2013;NULL;NULL;rock;Arctic Monkeys;NULL;Livre;3.07
Spotify PT;Numb;Música;2003;NULL;NULL;rock;Linkin Park;NULL;Livre;3.13
Spotify PT;Sweet Child O' Mine;Música;1987;NULL;NULL;rock;Guns N' Roses;NULL;Livre;5.93
Spotify PT;Creep;Música;1993;NULL;NULL;rock;Radiohead;NULL;18+;3.98
Spotify PT;Do I Wanna Know?;Música;2013;NULL;NULL;rock;Arctic Monkeys;NULL;Livre;4.54
Spotify PT;505;Música;2007;NULL;NULL;rock;Arctic Monkeys;NULL;Livre;4.23
Spotify PT;Too Sweet;Música;2024;NULL;NULL;rock;Hozier;NULL;Livre;4.19
Spotify PT;Counting Stars;Música;2013;NULL;NULL;rock;OneRepublic;NULL;Livre;4.29
Spotify PT;Losing My Religion;Música;1991;NULL;NULL;rock;R.E.M.;NULL;Livre;4.47
Spotify PT;Sultans Of Swing;Música;1978;NULL;NULL;rock;Dire Straits;NULL;Livre;5.81
Spotify PT;Sex on Fire;Música;2008;NULL;NULL;rock;Kings of Leon;NULL;Livre;3.39
Spotify PT;Chop Suey!;Música;2001;NULL;NULL;rock;System Of A Down;NULL;Livre;3.5
Spotify PT;Toxicity;Música;2001;NULL;NULL;rock;System Of A Down;NULL;Livre;3.65
Spotify PT;Feel Good Inc.;Música;2005;NULL;NULL;rock;Gorillaz;NULL;Livre;3.71
