Plataforma;Título;Tipo de Conteúdo;Ano de Lançamento;Nº Temporadas/Filmes na Saga;Nº de Episódios;Género;Produtor/Artista;Classificação IMDb;Classificação Etária (PEGI);Duração (minutos)
Crunchyroll;Attack on Titan;TV;2013;NULL;25.0;ANIME;NULL;9.1;16+;24.0
Crunchyroll;Demon Slayer: Kimetsu no Yaiba;TV;2019;NULL;26.0;ANIME;NULL;8.6;16+;24.0
Crunchyroll;Death Note;TV;2006;NULL;37.0;ANIME;NULL;8.9;14+;23.0
Crunchyroll;JUJUTSU KAISEN;TV;2020;NULL;24.0;ANIME;NULL;8.5;16+;24.0
Crunchyroll;My Hero Academia;TV;2016;NULL;13.0;ANIME;NULL;8.2;14+;24.0
Crunchyroll;Hunter x Hunter (2011);TV;2011;NULL;148.0;ANIME;NULL;N/A;N/A;24.0
Crunchyroll;One-Punch Man;TV;2015;NULL;12.0;ANIME;NULL;8.7;10+;24.0
Crunchyroll;Tokyo Ghoul;TV;2014;NULL;12.0;ANIME;NULL;7.7;16+;24.0
Crunchyroll;Attack on Titan Season 2;TV;2017;NULL;12.0;ANIME;NULL;7.5;Not Rated;25.0
Crunchyroll;Sword Art Online;TV;2012;NULL;25.0;ANIME;NULL;7.5;14+;23.0
Crunchyroll;Fullmetal Alchemist: Brotherhood;TV;2009;NULL;64.0;ANIME;NULL;9.1;14+;25.0
Crunchyroll;ONE PIECE;TV;1999;NULL;;ANIME;NULL;9.0;14+;24.0
Crunchyroll;Naruto;TV;2002;NULL;220.0;ANIME;NULL;8.4;10+;23.0
Crunchyroll;Your Name.;MOVIE;2016;NULL;1.0;ANIME;NULL;8.4;10+;107.0
Crunchyroll;Attack on Titan Season 3;TV;2018;NULL;12.0;ANIME;NULL;8.3;N/A;24.0
Crunchyroll;My Hero Academia Season 2;TV;2017;NULL;25.0;ANIME;NULL;6.2;16+;24.0
Crunchyroll;The Promised Neverland;TV;2019;NULL;12.0;ANIME;NULL;8.2;14+;23.0
Crunchyroll;Attack on Titan Final Season;TV;2020;NULL;16.0;ANIME;NULL;8.4;N/A;24.0
Crunchyroll;Assassination Classroom;TV;2015;NULL;22.0;ANIME;NULL;6.1;M;23.0
Crunchyroll;Mob Psycho 100;TV;2016;NULL;12.0;ANIME;NULL;8.5;14+;24.0
Crunchyroll;My Hero Academia Season 3;TV;2018;NULL;25.0;ANIME;NULL;8.3;12+;24.0
Crunchyroll;Your lie in April;TV;2014;NULL;22.0;ANIME;NULL;8.5;10+;23.0
Crunchyroll;ERASED;TV;2016;NULL;12.0;ANIME;NULL;8.4;14+;23.0
Crunchyroll;Naruto: Shippuden;TV;2007;NULL;500.0;ANIME;NULL;8.7;10+;23.0
Crunchyroll;Attack on Titan Season 3 Part 2;TV;2019;NULL;10.0;ANIME;NULL;N/A;N/A;24.0
Crunchyroll;Re:ZERO -Starting Life in Another World-;TV;2016;NULL;25.0;ANIME;NULL;8.1;14+;25.0
Crunchyroll;"Steins;Gate";TV;2011;NULL;24.0;ANIME;NULL;8.8;14+;24.0
Crunchyroll;HAIKYU!!;TV;2014;NULL;25.0;ANIME;NULL;8.7;14+;24.0
Crunchyroll;Rascal Does Not Dream of Bunny Girl Senpai;TV;2018;NULL;13.0;ANIME;NULL;8.0;14+;25.0
Crunchyroll;Black Clover;TV;2017;NULL;170.0;ANIME;NULL;8.2;10+;24.0
Crunchyroll;Noragami;TV;2014;NULL;12.0;ANIME;NULL;7.8;14+;24.0
